"trial_id","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","task","condition","rt","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","stimulus","response","slider_start","labels","choices","question_order","accuracy"
"pavlovia_init","pavlovia","0","1729","0.0-0.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preload","1","4521","0.0-1.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","true","false","[]","[]","[]","Preload","Experience","","","","","","","","","","","","","","","","","","","",""
"","fullscreen","2","25870","0.0-2.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","true","","","","","Fullscreen","","20342","21:24:29","","","","","","","","","","","","","","","","","",""
"","browser-check","3","26864","0.0-3.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Browser_Check","","","","1536","864","true","chrome","118.0.0","false","Windows 10","true","60.49","false","true","","","","","","",""
"","html-keyboard-response","4","57365","0.0-4.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Instruction","","30500","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">During this experiment, you will watch a set of movie clips. You will also answer questions about your experience after watching each clip. <br><br><br> <strong><i>Please be aware</i> that these movie clips are sourced from horror films and may contain mature language, gore, violence, mutilation, and/or harm to oneself or others.</strong> <br><br><br> If you are not comfortable with continuing, please exit this experiment now and \""return\"" your participation on Prolific. <br><br><br><br> Otherwise, please press the <strong>SPACE BAR</strong> to continue</p>""]"," ","","","","",""
"","image-button-response","5","84528","0.0-5.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Consent","","27161","","","","","","","","","","","","","components/consent/consent.png","0","","","","",""
"","html-keyboard-response","6","86436","0.0-6.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Instr_Task","","1907","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Thank you for agreeing to participate in this experiment! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","",""
"","html-keyboard-response","7","91169","0.0-7.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Instr_Task","","4733","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Before we begin, please be sure that you are in a good space to complete the experiment. This space should be: <br><br><br><br> <strong>Comfortable <br><br> Distraction-free <br><br> Available for the next 20 minutes</strong> <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","",""
"","html-keyboard-response","8","103478","0.0-8.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Instr_Task","","12308","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;""><strong>Please give your full attention to the experiment. This includes:</strong> <br><br><br><br> Closing or minimizing other programs on your computer <br><br> Silencing your phone or placing it somewhere it will not be distracting <br><br> Testing that your audio is working and set to a comfortable volume that you can clearly hear <br><br> Not completing this experiment with others present <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","",""
"","html-keyboard-response","9","114976","0.0-9.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Instr_Task","","11498","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">During this experiment, you will watch four short clips from horror movies. These clips may elicit some negative or unwanted emotional reactions. <br><br><br> <strong> Please watch and react to these clips as you naturally would</strong>. Before and after every clip, you will record the intensity of your negative emotions. You will also answer questions regarding your thoughts, behaviors, or experiences after watching all of the clips. <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","",""
"","html-keyboard-response","10","116186","0.0-10.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Instr_ExpStart","","1209","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">The experiment will now start! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>""]"," ","","","","",""
"","browser-check","11","117186","0.0-11.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Browser_Check","","","","1536","864","true","chrome","118.0.0","false","Windows 10","true","60.05","false","true","","","","","","",""
"","html-keyboard-response","12","122778","0.0-12.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Instr_Reminder","","5592","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">You will now watch one of the clips. <br><br><br> As a reminder, watch and react to this video <strong>as you naturally would</strong>.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue.</p>""]"," ","","","","",""
"","html-slider-response","13","134623","0.0-13.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Intensity_Baseline","","11844","","","","","","","","","","","","","[""<p style=\""font-size: 36px; line-height: 40px;\"">How <strong>intense</strong> are the negative emotions that you feel <strong>before</strong> starting this clip?</p>""]","5","50","[""<p style=\""font-size: 26px; line-height: 30px;\"">Extremely<br>Intense</p>"",""<p style=\""font-size: 26px; line-height: 30px;\"">Not at all<br>Intense</p>""]","","",""
"","video-keyboard-response","14","255303","0.0-14.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Stimulus","","null","","","","","","","","","","","","","[""components/stim/CNL1892.mp4""]","null","","","","",""
"","html-slider-response","15","265911","0.0-15.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Intensity_Video","","10607","","","","","","","","","","","","","[""<p style=\""font-size: 36px; line-height: 40px;\"">How <strong>intense</strong> were the negative emotions that you felt <strong>while</strong> watching this clip?</p>""]","0","50","[""<p style=\""font-size: 26px; line-height: 30px;\"">Extremely<br>Intense</p>"",""<p style=\""font-size: 26px; line-height: 30px;\"">Not at all<br>Intense</p>""]","","",""
"","browser-check","16","266912","0.0-16.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Browser_Check","","","","1536","864","true","chrome","118.0.0","false","Windows 10","true","60.02","false","true","","","","","","",""
"","html-keyboard-response","17","271425","0.0-17.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Instr_Reminder","","4513","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">You will now watch another one of the clips. <br><br><br> As a reminder, watch and react to this video <strong>as you naturally would</strong>.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue.</p>""]"," ","","","","",""
"","html-slider-response","18","278432","0.0-18.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Intensity_Baseline","","7006","","","","","","","","","","","","","[""<p style=\""font-size: 36px; line-height: 40px;\"">How <strong>intense</strong> are the negative emotions that you feel <strong>before</strong> starting this clip?</p>""]","0","50","[""<p style=\""font-size: 26px; line-height: 30px;\"">Extremely<br>Intense</p>"",""<p style=\""font-size: 26px; line-height: 30px;\"">Not at all<br>Intense</p>""]","","",""
"","video-keyboard-response","19","399222","0.0-19.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Stimulus","","null","","","","","","","","","","","","","[""components/stim/HIU8424.mp4""]","null","","","","",""
"","html-slider-response","20","419382","0.0-20.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Intensity_Video","","20160","","","","","","","","","","","","","[""<p style=\""font-size: 36px; line-height: 40px;\"">How <strong>intense</strong> were the negative emotions that you felt <strong>while</strong> watching this clip?</p>""]","15","50","[""<p style=\""font-size: 26px; line-height: 30px;\"">Extremely<br>Intense</p>"",""<p style=\""font-size: 26px; line-height: 30px;\"">Not at all<br>Intense</p>""]","","",""
"","browser-check","21","420369","0.0-21.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Browser_Check","","","","1536","864","true","chrome","118.0.0","false","Windows 10","true","60.88","false","true","","","","","","",""
"","html-keyboard-response","22","421994","0.0-22.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Instr_Reminder","","1625","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">You will now watch another one of the clips. <br><br><br> As a reminder, watch and react to this video <strong>as you naturally would</strong>.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue.</p>""]"," ","","","","",""
"","html-slider-response","23","430518","0.0-23.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Intensity_Baseline","","8524","","","","","","","","","","","","","[""<p style=\""font-size: 36px; line-height: 40px;\"">How <strong>intense</strong> are the negative emotions that you feel <strong>before</strong> starting this clip?</p>""]","15","50","[""<p style=\""font-size: 26px; line-height: 30px;\"">Extremely<br>Intense</p>"",""<p style=\""font-size: 26px; line-height: 30px;\"">Not at all<br>Intense</p>""]","","",""
"","video-keyboard-response","24","552371","0.0-24.0","6107a4b7744b9b0ca7328cee","652d46c8909a0ef52332ec58","6530af5a95a5cd588b020a0f","","","","","","Stimulus","","null","","","","","","","","","","","","","[""components/stim/ARF1665.mp4""]","null","","","","",""
