"trial_id","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","task","condition","rt","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","stimulus","response","slider_start","labels","choices","question_order","accuracy"
"pavlovia_init","pavlovia","0","1473","0.0-0.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preload","1","6124","0.0-1.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","true","false","[]","[]","[]","Preload","Experience","","","","","","","","","","","","","","","","","","","",""
"","fullscreen","2","9337","0.0-2.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","true","","","","","Fullscreen","","2208","21:17:57","","","","","","","","","","","","","","","","","",""
"","browser-check","3","10334","0.0-3.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Browser_Check","","","","1440","900","true","chrome","118.0.0","false","Mac OS","true","60.64","true","true","","","","","","",""
"","html-keyboard-response","4","21296","0.0-4.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Instruction","","10960","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">During this experiment, you will watch a set of movie clips. You will also answer questions about your experience after watching each clip. <br><br><br> <strong><i>Please be aware</i> that these movie clips are sourced from horror films and may contain mature language, gore, violence, mutilation, and/or harm to oneself or others.</strong> <br><br><br> If you are not comfortable with continuing, please exit this experiment now and \""return\"" your participation on Prolific. <br><br><br><br> Otherwise, please press the <strong>SPACE BAR</strong> to continue</p>""]"," ","","","","",""
"","image-button-response","5","32840","0.0-5.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Consent","","11540","","","","","","","","","","","","","components/consent/consent.png","0","","","","",""
"","html-keyboard-response","6","34462","0.0-6.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Instr_Task","","1621","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Thank you for agreeing to participate in this experiment! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","",""
"","html-keyboard-response","7","37896","0.0-7.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Instr_Task","","3432","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Before we begin, please be sure that you are in a good space to complete the experiment. This space should be: <br><br><br><br> <strong>Comfortable <br><br> Distraction-free <br><br> Available for the next 20 minutes</strong> <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","",""
"","html-keyboard-response","8","41605","0.0-8.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Instr_Task","","3709","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;""><strong>Please give your full attention to the experiment. This includes:</strong> <br><br><br><br> Closing or minimizing other programs on your computer <br><br> Silencing your phone or placing it somewhere it will not be distracting <br><br> Testing that your audio is working and set to a comfortable volume that you can clearly hear <br><br> Not completing this experiment with others present <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","",""
"","html-keyboard-response","9","50615","0.0-9.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Instr_Task","","9009","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">During this experiment, you will watch four short clips from horror movies. These clips may elicit some negative or unwanted emotional reactions. <br><br><br> <strong> Please watch and react to these clips as you naturally would</strong>. Before and after every clip, you will record the intensity of your negative emotions. You will also answer questions regarding your thoughts, behaviors, or experiences after watching all of the clips. <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","",""
"","html-keyboard-response","10","53579","0.0-10.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Instr_ExpStart","","2963","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">The experiment will now start! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>""]"," ","","","","",""
"","browser-check","11","54583","0.0-11.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Browser_Check","","","","1440","900","true","chrome","118.0.0","false","Mac OS","true","59.78","true","true","","","","","","",""
"","html-keyboard-response","12","60910","0.0-12.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Instr_Reminder","","6327","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">You will now watch one of the clips. <br><br><br> As a reminder, watch and react to this video <strong>as you naturally would</strong>.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue.</p>""]"," ","","","","",""
"","html-slider-response","13","72839","0.0-13.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Intensity_Baseline","","11925","","","","","","","","","","","","","[""<p style=\""font-size: 36px; line-height: 40px;\"">How <strong>intense</strong> are the negative emotions that you feel <strong>before</strong> starting this clip?</p>""]","57","50","[""<p style=\""font-size: 26px; line-height: 30px;\"">Not at all<br>Intense</p>"",""<p style=\""font-size: 26px; line-height: 30px;\"">Extremely<br>Intense</p>""]","","",""
"","video-keyboard-response","14","193596","0.0-14.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Stimulus","","null","","","","","","","","","","","","","[""components/stim/CNL1892.mp4""]","null","","","","",""
"","html-slider-response","15","226737","0.0-15.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Intensity_Video","","33139","","","","","","","","","","","","","[""<p style=\""font-size: 36px; line-height: 40px;\"">How <strong>intense</strong> were the negative emotions that you felt <strong>while</strong> watching this clip?</p>""]","100","50","[""<p style=\""font-size: 26px; line-height: 30px;\"">Not at all<br>Intense</p>"",""<p style=\""font-size: 26px; line-height: 30px;\"">Extremely<br>Intense</p>""]","","",""
"","browser-check","16","227735","0.0-16.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Browser_Check","","","","1440","900","true","chrome","118.0.0","false","Mac OS","true","60.42","true","true","","","","","","",""
"","html-keyboard-response","17","230372","0.0-17.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Instr_Reminder","","2637","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">You will now watch another one of the clips. <br><br><br> As a reminder, watch and react to this video <strong>as you naturally would</strong>.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue.</p>""]"," ","","","","",""
"","html-slider-response","18","242267","0.0-18.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Intensity_Baseline","","11893","","","","","","","","","","","","","[""<p style=\""font-size: 36px; line-height: 40px;\"">How <strong>intense</strong> are the negative emotions that you feel <strong>before</strong> starting this clip?</p>""]","76","50","[""<p style=\""font-size: 26px; line-height: 30px;\"">Not at all<br>Intense</p>"",""<p style=\""font-size: 26px; line-height: 30px;\"">Extremely<br>Intense</p>""]","","",""
"","video-keyboard-response","19","364164","0.0-19.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Stimulus","","null","","","","","","","","","","","","","[""components/stim/ARF1665.mp4""]","null","","","","",""
"","html-slider-response","20","387004","0.0-20.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Intensity_Video","","22839","","","","","","","","","","","","","[""<p style=\""font-size: 36px; line-height: 40px;\"">How <strong>intense</strong> were the negative emotions that you felt <strong>while</strong> watching this clip?</p>""]","97","50","[""<p style=\""font-size: 26px; line-height: 30px;\"">Not at all<br>Intense</p>"",""<p style=\""font-size: 26px; line-height: 30px;\"">Extremely<br>Intense</p>""]","","",""
"","browser-check","21","388002","0.0-21.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Browser_Check","","","","1440","900","true","chrome","118.0.0","false","Mac OS","true","60.35","true","true","","","","","","",""
"","html-keyboard-response","22","389743","0.0-22.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Instr_Reminder","","1740","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">You will now watch another one of the clips. <br><br><br> As a reminder, watch and react to this video <strong>as you naturally would</strong>.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue.</p>""]"," ","","","","",""
"","html-slider-response","23","399503","0.0-23.0","63a0d718bbed03d92665039e","652d46c8909a0ef52332ec58","6530ade2dc1af0888fa10ada","","","","","","Intensity_Baseline","","9758","","","","","","","","","","","","","[""<p style=\""font-size: 36px; line-height: 40px;\"">How <strong>intense</strong> are the negative emotions that you feel <strong>before</strong> starting this clip?</p>""]","69","50","[""<p style=\""font-size: 26px; line-height: 30px;\"">Not at all<br>Intense</p>"",""<p style=\""font-size: 26px; line-height: 30px;\"">Extremely<br>Intense</p>""]","","",""
