"trial_id","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","task","condition","rt","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","stimulus","response","slider_start","labels","choices","question_order"
"pavlovia_init","pavlovia","0","1192","0.0-0.0","62d133496cf7f774b8bf98a0","652d46c8909a0ef52332ec58","652f0d58cb17225580e9540e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preload","1","22884","0.0-1.0","62d133496cf7f774b8bf98a0","652d46c8909a0ef52332ec58","652f0d58cb17225580e9540e","true","false","[]","[]","[]","Preload","Forecast","","","","","","","","","","","","","","","","","","",""
"","fullscreen","2","26069","0.0-2.0","62d133496cf7f774b8bf98a0","652d46c8909a0ef52332ec58","652f0d58cb17225580e9540e","true","","","","","Fullscreen","","2170","18:41:39","","","","","","","","","","","","","","","","",""
"","browser-check","3","27059","0.0-3.0","62d133496cf7f774b8bf98a0","652d46c8909a0ef52332ec58","652f0d58cb17225580e9540e","","","","","","Browser_Check","","","","1920","1080","true","chrome","118.0.0","false","Windows 10","true","61.06","true","true","","","","","",""
"","html-keyboard-response","4","41479","0.0-4.0","62d133496cf7f774b8bf98a0","652d46c8909a0ef52332ec58","652f0d58cb17225580e9540e","","","","","","Instruction","","14419","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">During this experiment, you will watch a set of movie clips. You will also answer questions about your experience after watching each clip. <br><br><br> <strong><i>Please be aware</i> that these movie clips are sourced from horror films and may contain mature language, gore, violence, mutilation, and/or harm to oneself or others.</strong> <br><br><br> If you are not comfortable with continuing, please exit this experiment now and \""return\"" your participation on Prolific. <br><br><br><br> Otherwise, please press the <strong>SPACE BAR</strong> to continue</p>""]"," ","","","",""
"","image-button-response","5","57896","0.0-5.0","62d133496cf7f774b8bf98a0","652d46c8909a0ef52332ec58","652f0d58cb17225580e9540e","","","","","","Consent","","16416","","","","","","","","","","","","","components/consent/consent.png","0","","","",""
"","html-keyboard-response","6","59751","0.0-6.0","62d133496cf7f774b8bf98a0","652d46c8909a0ef52332ec58","652f0d58cb17225580e9540e","","","","","","Instr_Task","","1855","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Thank you for agreeing to participate in this experiment! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","",""
"","html-keyboard-response","7","69775","0.0-7.0","62d133496cf7f774b8bf98a0","652d46c8909a0ef52332ec58","652f0d58cb17225580e9540e","","","","","","Instr_Task","","10023","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Before we begin, please be sure that you are in a good space to complete the experiment. This space should be: <br><br><br><br> <strong>Comfortable <br><br> Distraction-free <br><br> Available for the next 20 minutes</strong> <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","",""
"","html-keyboard-response","8","81516","0.0-8.0","62d133496cf7f774b8bf98a0","652d46c8909a0ef52332ec58","652f0d58cb17225580e9540e","","","","","","Instr_Task","","11740","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;""><strong>Please give your full attention to the experiment. This includes:</strong> <br><br><br><br> Closing or minimizing other programs on your computer <br><br> Silencing your phone or placing it somewhere it will not be distracting <br><br> Testing that your audio is working and set to a comfortable volume that you can clearly hear <br><br> Not completing this experiment with others present <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","",""
"","html-keyboard-response","9","109001","0.0-9.0","62d133496cf7f774b8bf98a0","652d46c8909a0ef52332ec58","652f0d58cb17225580e9540e","","","","","","Instr_Task","","27484","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">During this experiment, you will watch four short clips from horror movies. These clips may elicit some negative or unwanted emotional reactions. <br><br><br> <strong> Please watch and react to these clips as you naturally would</strong>. Before and after every clip, you will record the intensity of your negative emotions. You will also answer questions regarding your thoughts, behaviors, or experiences after watching all of the clips. <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","",""
"","html-keyboard-response","10","128645","0.0-10.0","62d133496cf7f774b8bf98a0","652d46c8909a0ef52332ec58","652f0d58cb17225580e9540e","","","","","","Instr_ExpStart","","19644","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">The experiment will now start! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>""]"," ","","","",""
"","browser-check","11","129642","0.0-11.0","62d133496cf7f774b8bf98a0","652d46c8909a0ef52332ec58","652f0d58cb17225580e9540e","","","","","","Browser_Check","","","","1920","1080","true","chrome","118.0.0","false","Windows 10","true","60.34","true","true","","","","","",""
"","html-keyboard-response","12","136251","0.0-12.0","62d133496cf7f774b8bf98a0","652d46c8909a0ef52332ec58","652f0d58cb17225580e9540e","","","","","","Instr_Reminder","","6609","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">You will now watch one of the clips. <br><br><br> As a reminder, watch and react to this video <strong>as you naturally would</strong>.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue.</p>""]"," ","","","",""
