"trial_id","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","task","condition","rt","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","stimulus","response"
"pavlovia_init","pavlovia","0","1026","0.0-0.0","63d1659ccf3b611c5671914a","652d46c8909a0ef52332ec58","6530b5ef10e28cf2af80b07c","","","","","","","","","","","","","","","","","","","","","",""
"","preload","1","3489","0.0-1.0","63d1659ccf3b611c5671914a","652d46c8909a0ef52332ec58","6530b5ef10e28cf2af80b07c","true","false","[]","[]","[]","Preload","Experience","","","","","","","","","","","","","","",""
"","fullscreen","2","1362807","0.0-2.0","63d1659ccf3b611c5671914a","652d46c8909a0ef52332ec58","6530b5ef10e28cf2af80b07c","true","","","","","Fullscreen","","1358309","18:14:50","","","","","","","","","","","","",""
"","browser-check","3","1363809","0.0-3.0","63d1659ccf3b611c5671914a","652d46c8909a0ef52332ec58","6530b5ef10e28cf2af80b07c","","","","","","Browser_Check","","","","1920","1080","true","chrome","118.0.0","false","Windows 10","true","60.17","true","true","",""
"","html-keyboard-response","4","1389689","0.0-4.0","63d1659ccf3b611c5671914a","652d46c8909a0ef52332ec58","6530b5ef10e28cf2af80b07c","","","","","","Instruction","","25879","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">During this experiment, you will watch a set of movie clips. You will also answer questions about your experience after watching each clip. <br><br><br> <strong><i>Please be aware</i> that these movie clips are sourced from horror films and may contain mature language, gore, violence, mutilation, and/or harm to oneself or others.</strong> <br><br><br> If you are not comfortable with continuing, please exit this experiment now and \""return\"" your participation on Prolific. <br><br><br><br> Otherwise, please press the <strong>SPACE BAR</strong> to continue</p>""]"," "
"","image-button-response","5","1400624","0.0-5.0","63d1659ccf3b611c5671914a","652d46c8909a0ef52332ec58","6530b5ef10e28cf2af80b07c","","","","","","Consent","","10933","","","","","","","","","","","","","components/consent/consent.png","0"
"","html-keyboard-response","6","1401551","0.0-6.0","63d1659ccf3b611c5671914a","652d46c8909a0ef52332ec58","6530b5ef10e28cf2af80b07c","","","","","","Instr_Task","","926","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Thank you for agreeing to participate in this experiment! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," "
"","html-keyboard-response","7","1403087","0.0-7.0","63d1659ccf3b611c5671914a","652d46c8909a0ef52332ec58","6530b5ef10e28cf2af80b07c","","","","","","Instr_Task","","1536","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Before we begin, please be sure that you are in a good space to complete the experiment. This space should be: <br><br><br><br> <strong>Comfortable <br><br> Distraction-free <br><br> Available for the next 20 minutes</strong> <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," "
"","html-keyboard-response","8","1404807","0.0-8.0","63d1659ccf3b611c5671914a","652d46c8909a0ef52332ec58","6530b5ef10e28cf2af80b07c","","","","","","Instr_Task","","1720","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;""><strong>Please give your full attention to the experiment. This includes:</strong> <br><br><br><br> Closing or minimizing other programs on your computer <br><br> Silencing your phone or placing it somewhere it will not be distracting <br><br> Testing that your audio is working and set to a comfortable volume that you can clearly hear <br><br> Not completing this experiment with others present <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," "
"","html-keyboard-response","9","1406039","0.0-9.0","63d1659ccf3b611c5671914a","652d46c8909a0ef52332ec58","6530b5ef10e28cf2af80b07c","","","","","","Instr_Task","","1231","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">During this experiment, you will watch four short clips from horror movies. These clips may elicit some negative or unwanted emotional reactions. <br><br><br> <strong> Please watch and react to these clips as you naturally would</strong>. Before and after every clip, you will record the intensity of your negative emotions. You will also answer questions regarding your thoughts, behaviors, or experiences after watching all of the clips. <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," "
"","html-keyboard-response","10","1407039","0.0-10.0","63d1659ccf3b611c5671914a","652d46c8909a0ef52332ec58","6530b5ef10e28cf2af80b07c","","","","","","Instr_ExpStart","","1000","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">The experiment will now start! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>""]"," "
"","browser-check","11","1408027","0.0-11.0","63d1659ccf3b611c5671914a","652d46c8909a0ef52332ec58","6530b5ef10e28cf2af80b07c","","","","","","Browser_Check","","","","1920","937","true","chrome","118.0.0","false","Windows 10","true","60.8","true","true","",""
"","html-keyboard-response","12","1410271","0.0-12.0","63d1659ccf3b611c5671914a","652d46c8909a0ef52332ec58","6530b5ef10e28cf2af80b07c","","","","","","Instr_Reminder","","2244","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">You will now watch one of the clips. <br><br><br> As a reminder, watch and react to this video <strong>as you naturally would</strong>.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue.</p>""]"," "
