,Emotion,EmoMod
302,increased heart rate,increased heart rate
303,indecisive,indecisive
304,indifferent,indifferent
305,infatuated,infatuated
306,insecure,insecure
307,instability,instability
308,intense,intense
310,intensity,intense
314,intese,intense
311,interest,interested
312,interested,interested
313,interesting,interested
315,intimidated,intimidated
316,intimidation,intimidated
196,entrigued,intrigue
317,intrigue,intrigue
318,intrigued,intrigue
319,intrigued - actual people upside down?,intrigue
320,intruged,intrigue
321,intruiged,intrigue
322,irriation,irritated
323,irritated,irritated
324,isolated,isolated
325,jarring,jarring
326,jealousu,jealousy
327,jealousy,jealousy
328,jittery,jittery
329,joufulm,joyful
330,joy,joyful
331,joy it was a good part in the experience,joyful
332,joy/laughter,joyful
333,joyful,joyful
343,laughter/joy,joyful
336,jumpscare,jump scare
337,jumpscared,jump scare
334,jumly,jumpy
335,jump,jumpy
338,jumpy,jumpy
249,funny/laughter,laughable
339,laugh,laughable
340,laughable,laughable
341,laughed,laughable
342,laughter,laughable
343,laughter/joy,laughable
332,joy/laughter,laughter
345,letdown,letdown
346,light-hearted,light-hearted
349,longing,longing
350,lost,lost
351,loud,loud
352,mad,mad
353,melancholy,melancholy
354,melancoly,melancholy
355,memory,memory
360,miserable,miserable
361,modest,modest
362,mysterious,mysterious
4,.,NA
5,...,NA
74,can't remember,NA
75,can’t remember,NA
170,don't touch anything,NA
185,emotionless,NA
187,enclosed waiting for someone to grab me,NA
215,f u,NA
239,friendship,NA
273,historical interest,NA
287,i'm really sorry i just cannot remember many more things that happened,NA
288,i am about to pass away,NA
289,i am dying and falling through the floor,NA
290,i felt nothing intense,NA
291,i literally have no idea,NA
293,idk man,NA
344,leadership,NA
347,line leader,NA
363,n/a,NA
364,na,NA
365,"na, my computer died before i could write more than one event",NA
366,"na, my computer died before i got to write more than one event",NA
371,need to recompose myself,NA
372,need to respond,NA
383,nothing,NA
384,nothng,NA
408,people touch,NA
459,same thing,NA
504,still no,NA
541,torn between going ahead and waiting,NA
585,urge to keep walking,NA
586,urge to leave,NA
587,urge to leave the room,NA
588,urge to leave vicinity,NA
590,void,NA
594,wanting it to be over,NA
595,wanting the loud noise to stop,NA
596,wanting the sound to go away,NA
597,wanting to be left alone,NA
614,x,NA
367,nausea,nauseous
368,nauseated,nauseous
369,nauseating,nauseous
370,nauseous,nauseous
214,extremely nervous,nervous
373,nerves,nervous
374,nervous,nervous
375,nervous/concerned,nervous
376,nervousness,nervous
377,nice,nice
378,non interested,uninterested
379,nonchalant,nonchalant
380,nostalgia,nostalgic
381,nostalgic,nostalgic
382,nosy,nosy
385,numbness,numbness
386,observant,observant
387,odd,odd
389,offense,offense
388,off-guard,off-guard
390,ominous,ominous
391,on-edge,onedge
393,on edge,onedge
392,on-guard,on-guard
394,out of control,uncontrolled
395,out of place,out of place
397,over it,over it
396,over-stimulated,overstimulated
398,overstimulated,overstimulated
399,overwhelmed,overwhelmed
400,overwhlemed,overwhelmed
401,pain,pain
402,panic,panicked
403,panicked,panicked
404,panicky,panicked
405,paralyzed,paralyzed
406,paranoid,paranoid
407,pensive,pensive
409,perplexed,perplexed
410,petrified,petrified
411,physical trembling,trembling
412,pity,pity
413,placid,placid
414,pleasure,pleasure
415,preparation,prepared
416,prepared,prepared
417,present,present
419,proactive,proactive
421,protective,protective
9,a little proud that the actor saw scaring me as a challenge,proud
418,pride,proud
422,proud,proud
423,puzzled,puzzled
424,questioning,questioning
425,quick,quick
426,rambunctius,rambunctious
427,rationalizing,rationalize
428,rattled,rattled
429,readiness,readiness
430,readyness,readiness
431,regret,regretful
432,regretful,regretful
433,relaxed,relaxed
434,relief,relieved
435,relief when he turned it off,relieved
436,relieved,relieved
437,relieving,relieved
438,reluctance,reluctant
439,reluctant,reluctant
440,reminiscense,reminiscent
441,reminiscent,reminiscent
442,reminiscient,reminiscent
443,remorse,remorse
444,repulsion,repulsion
445,repulsive,repulsion
446,resentful,resentful
447,resentment,resentful
448,reserved,reserved
449,resistant,resistant
450,resolve,resolve
451,respect,respect
452,rowdy,rowdy
453,run,run
454,rush,rush
2,"""sad""",sad
455,sad,sad
456,saddness,sad
457,sadness,sad
458,safe,safe
460,sane,sane
461,satisfied,satisfied
420,probably a little scared,scared
462,scared,scared
463,scary,scared
