PID,Videos,stimset,Arousal,Valence,Coherence,Familiarity,,
hc0018,ISD6804,0,5,6,1,2,,
hc0019,ISD6804,0,25,41,0,0,,
hc0020,ISD6804,0,1,53,1,1,,
hc0011,HIU8424,1,65,0,23,0,,
hc0012,HIU8424,1,89,0,5,0,,
hc0013,HIU8424,1,75,0,85,0,,
hc0014,HIU8424,1,95,0,91,0,,
hc0015,HIU8424,1,90,0,40,0,,
hc0016,HIU8424,1,65,26,40,0,,
hc0017,HIU8424,1,48,50,24,4,,
hc0018,HIU8424,1,33,3,1,3,,
hc0019,HIU8424,1,100,0,60,0,,
hc0020,HIU8424,1,24,50,19,2,,
hc0011,ARF0333,0,34,50,32,0,,
hc0012,ARF0333,0,0,62,11,0,,
hc0013,ARF0333,0,0,50,0,0,,
hc0014,ARF0333,0,5,50,12,0,,
hc0015,ARF0333,0,5,50,20,0,,
hc0016,ARF0333,0,7,50,89,0,,
hc0017,ARF0333,0,16,16,62,4,,
hc0018,ARF0333,0,3,22,9,1,,
hc0019,ARF0333,0,20,28,4,0,,
hc0020,ARF0333,0,3,49,2,2,,
hc0011,GEP1442,0,40,50,30,0,,
hc0012,GEP1442,0,0,49,6,0,,
hc0013,GEP1442,0,0,50,0,0,,
hc0014,GEP1442,0,1,48,18,0,,
hc0015,GEP1442,0,10,50,5,0,,
hc0016,GEP1442,0,0,50,77,0,,
hc0017,GEP1442,0,17,15,56,57,,
hc0018,GEP1442,0,4,6,5,1,,
hc0019,GEP1442,0,5,30,2,0,,
hc0020,GEP1442,0,2,49,2,3,,
hc0011,JIY4550,1,50,14,22,0,,
hc0012,JIY4550,1,41,27,21,0,,
hc0013,JIY4550,1,70,0,50,0,,
hc0014,JIY4550,1,58,0,74,0,,
hc0015,JIY4550,1,80,15,60,0,,
hc0016,JIY4550,1,36,36,63,0,,
hc0017,JIY4550,1,66,8,75,13,,
hc0018,JIY4550,1,32,5,2,1,,
hc0019,JIY4550,1,85,0,78,0,,
hc0020,JIY4550,1,4,49,2,2,,
hc0011,CNL7699,0,40,44,18,0,,
hc0012,CNL7699,0,3,62,3,0,,
hc0013,CNL7699,0,16,0,35,0,,
hc0014,CNL7699,0,2,49,7,0,,
hc0015,CNL7699,0,5,50,5,0,,
hc0016,CNL7699,0,21,50,57,0,,
hc0017,CNL7699,0,19,52,16,5,,
hc0018,CNL7699,0,5,11,4,2,,
hc0019,CNL7699,0,28,67,0,0,,
hc0020,CNL7699,0,4,50,2,4,,
hc0011,DEI3581,1,53,16,21,0,,
hc0012,DEI3581,1,40,34,0,100,,
hc0013,DEI3581,1,75,0,95,0,,
hc0014,DEI3581,1,75,0,64,0,,
hc0015,DEI3581,1,70,30,35,0,,
hc0016,DEI3581,1,48,27,61,0,,
hc0017,DEI3581,1,49,50,45,6,,
hc0018,DEI3581,1,4,4,3,2,,
hc0019,DEI3581,1,93,0,96,0,,
hc0020,DEI3581,1,4,47,2,3,,
hc0021,CNL1892,1,76,23,43,0,,
hc0022,CNL1892,1,78,80,74,1,,
hc0023,CNL1892,1,80,6,5,0,,
hc0024,CNL1892,1,60,85,30,0,,
hc0025,CNL1892,1,11,49,46,0,,
hc0026,CNL1892,1,30,50,20,1,,
hc0027,CNL1892,1,66,9,65,0,,
hc0028,CNL1892,1,70,7,77,0,,
hc0029,CNL1892,1,85,25,90,0,,
hc0030,CNL1892,1,30,35,75,0,,
hc0021,DEI9446,0,27,38,75,0,,
hc0022,DEI9446,0,49,48,57,1,,
hc0023,DEI9446,0,14,50,6,0,,
hc0024,DEI9446,0,10,16,40,0,,
hc0025,DEI9446,0,0,51,86,1,,
hc0026,DEI9446,0,1,40,50,1,,
hc0027,DEI9446,0,23,19,37,0,,
hc0028,DEI9446,0,13,50,58,0,,
hc0029,DEI9446,0,30,45,90,0,,
hc0030,DEI9446,0,10,50,10,0,,
hc0021,JIY4550,1,70,31,92,0,,
hc0022,JIY4550,1,57,47,54,1,,
hc0023,JIY4550,1,24,0,46,0,,
hc0024,JIY4550,1,61,85,0,100,,
hc0025,JIY4550,1,3,49,41,1,,
hc0026,JIY4550,1,11,21,80,1,,
hc0027,JIY4550,1,45,17,68,0,,
hc0028,JIY4550,1,72,22,62,0,,
hc0029,JIY4550,1,80,35,0,100,,
hc0030,JIY4550,1,60,30,60,0,,
hc0021,HIU8424,1,100,0,66,0,,
hc0022,HIU8424,1,66,65,66,1,,
hc0023,HIU8424,1,70,28,64,0,,
hc0024,HIU8424,1,91,4,92,0,,
hc0025,HIU8424,1,65,26,1,1,,
hc0026,HIU8424,1,70,11,50,1,,
hc0027,HIU8424,1,67,10,55,0,,
hc0028,HIU8424,1,86,0,69,0,,
hc0029,HIU8424,1,100,0,90,0,,
hc0030,HIU8424,1,70,0,55,0,,
